Time,Treatment,OD_600
9,P4_SSE,0.392
10,P4_SSE,0.361
11,P4_SSE,0.366
12,P4_SSE,0.383
13,P4_SSE,0.398
14,P4_SSE,0.413
15,P4_SSE,0.427
16,P4_SSE,0.43
17,P4_SSE,0.434
18,P4_SSE,0.432
19,P4_SSE,0.435
20,P4_SSE,0.437
21,P4_SSE,0.442
22,P4_SSE,0.444
23,P4_SSE,0.448
24,P4_SSE,0.463
25,P4_SSE,0.464
26,P4_SSE,0.465
27,P4_SSE,0.481
